longitud,latitud,address,restaurant
12.69374,56.04451,"McDonald´s - Knutpunkten 15 , Helsingborg",mcd
14.14822,59.31469,"McDonald´s - Bartilsbrovägen 5, Kristinehamn",mcd
15.58491,56.16255,"McDonald´s - Affärshuset Kronan, Karlskrona",mcd
17.91977,59.27411,"McDonald´s - Gamla Södertäljevägen 209, Huddinge",mcd
12.07110,57.49199,"McDonald´s - Varlavägen, Kungsbacka",mcd
12.05994,57.47399,"McDonald´s - Kungsbacka - Kollavarvsvägen 18, Kungsbacka",mcd
18.0704,59.3362,"McDonald´s - Kungsgatan 4, Stockholm",mcd
11.96781,57.70454,"McDonald´s - Kungsgatan 55-57, Göteborg",mcd
11.9720,57.8755,"McDonald´s - Kungälv - Gymnasiegatan, Kungälv",mcd
15.41686,60.48569,"McDonald´s - Kupolen Borlänge, Borlänge",mcd
12.05023,57.60205,"McDonald´s - Ekenleden 3, Kållered",mcd
12.85256,55.87122,"McDonald´s - Pumpgatan 5, Landskrona",mcd
17.31747,62.38673,"McDonald´s - Landsvägsallén 10, Sundsvall",mcd
12.31038,57.67930,"McDonald´s - Flygplatsvägen 12, Landvetter",mcd
12.26284,57.12408,"McDonald´s - Äppelvägen 1A, Varberg",mcd
18.02302,59.31049,"McDonald´s - Liljeholmstorget 94, Stockholm",mcd
14.69205,63.17704,"McDonald´s - Hagvägen 1A, Östersund",mcd
13.20341,61.15458,"McDonald´s - Lindvallen, Sälen",mcd
17.89723,59.26503,"McDonald´s - Kungenskurvaleden 1, Kungens Kurva",mcd
15.62529,58.40911,"McDonald´s - S:t Larsgatan 35, Linköping",mcd
13.03298,55.55075,"McDonald´s - Bronsgjutaregatan 3, Malmö",mcd
13.09063,55.68459,"McDonald´s - Bronsgatan 3, Lomma",mcd
12.98934,55.76785,"McDonald´s - Marknadsvägen 7 - Center Syd, Löddeköpinge",mcd
11.96848,57.70985,"McDonald´s - L:a Klädpressaregatan 4, Göteborg",mcd
12.97647,55.56265,"McDonald´s - Hyllie Stationstorg 17, Malmö",mcd
13.00309,55.59473,"McDonald´s - Friisgatan 2B, Malmö",mcd
17.62928,59.19488,"McDonald´s - Västra Kanalgatan 1, Södertälje",mcd
15.1367,59.2180,"McDonald´s - Marieberg Galleria, Varuvägen 10, Örebro",mcd
13.81728,58.67844,"McDonald´s - Hammarsmedsgatan 31, Mariestad",mcd
15.19061,60.15150,"McDonald´s - Tingshusgatan 13, Ludvika",mcd
14.59051,61.00882,"McDonald´s - Skålmyrsvägen 35, Mora",mcd
18.14830,59.17686,"McDonald´s - Vendelsövägen 15, Haninge",mcd
16.21193,58.99576,"McDonald´s - Fabriksgatan 18, Katrineholm",mcd
12.95675,56.50194,"McDonald´s - Söderleden 5, Mellbystrand ",mcd
13.02886,55.60839,"McDonald´s - Lundavägen 26, Malmö",mcd
15.09217,58.32372,"McDonald´s - Sparregatan 2, Mjölby",mcd
22.13344,65.60276,"McDonald´s - Banvägen1, Luleå",mcd
13.00396,55.58110,"McDonald´s - Per Albin Hanssons väg 40, Malmö",mcd
17.66267,59.20040,"McDonald´s - Klastorpsvägen 4, Södertälje",mcd
15.04390,58.53103,"McDonald´s - Södra Allén 3, Motala",mcd
13.19640,55.70127,"McDonald´s - Mårtenstorget 12, Lund",mcd
11.98506,57.64619,"McDonald´s - Jolengatan 3, Mölndal",mcd
18.16089,59.31294,"McDonald´s - Vikdalsvägen 43, Nacka",mcd
13.51994,59.39508,"McDonald´s - Östra infarten 3, Karlstad",mcd
11.2112,59.0641,"McDonald´s - Nordby Köpcenter, Strömstad",mcd
13.20147,55.72066,"McDonald´s - Skarpskyttevägen 1, Lund",mcd
14.82823,56.90210,"McDonald´s - Norremarksvägen 4, Växjö",mcd
13.85493,58.40664,"McDonald´s - Gustav Adolfsgatan  61, Skövde",mcd
18.68659,59.74796,"McDonald´s - Stockholmsvägen 51, Norrtälje",mcd
15.93372,56.73511,"McDonald´s - Norra vägen 2K, Nybro",mcd
