longitud,latitud,address,restaurant,fill_type
12.97327,57.72034,"McDonald´s - Hultagatan 11, Borås",mcd,small_red
12.8600,56.0991,"McDonald´s - Hyllinge - Dragaregatan 1, Hyllinge",mcd,small_red
18.12185,59.44542,"McDonald´s - Flygsvängen 1, Täby",mcd,small_red
17.935406,59.438911,"McDonald´s - Norra Malmvägen 80 C, Sollentuna",mcd,small_red
16.62444,59.60934,"McDonald´s - Stockholmsvägen 142, Västerås",mcd,small_red
17.9339,62.6338,"McDonald´s - Härnösand, Härnösand",mcd,small_red
18.061158,59.334978,"McDonald´s - Kungsgatan 50, Stockholm",mcd,small_red
16.15409,58.61936,"McDonald´s - Koppargatan 22, Norrköping",mcd,small_red
14.15240,57.76304,"McDonald´s - Hagaleden 3, Jönköping",mcd,small_red
12.91809,59.13552,"McDonald´s - Järnvägsgatan 4, Säffle",mcd,small_red
14.17248,57.78233,"McDonald´s - Östra Storgatan 22, Jönköping",mcd,small_red
18.09093,59.33812,"McDonald´s - Karlaplan 13, Stockholm",mcd,small_red
14.52687,59.32514,"McDonald´s - Viaduktgatan 6, Karlskoga",mcd,small_red
13.49700,59.37920,"McDonald´s - Drottninggatan 33 B, Karlstad",mcd,small_red
12.69912,57.50471,"McDonald´s - Lyddevägen 5, Kinna",mcd,small_red
17.94304,59.40403,"McDonald´s - Danmarksgatan 44, Kista",mcd,small_red
16.07959,58.56871,"McDonald´s - Skärblackavägen 4, Norrköping",mcd,small_red
12.69374,56.04451,"McDonald´s - Knutpunkten 15 , Helsingborg",mcd,small_red
14.14822,59.31469,"McDonald´s - Bartilsbrovägen 5, Kristinehamn",mcd,small_red
15.58491,56.16255,"McDonald´s - Affärshuset Kronan, Karlskrona",mcd,small_red
17.91977,59.27411,"McDonald´s - Gamla Södertäljevägen 209, Huddinge",mcd,small_red
12.07110,57.49199,"McDonald´s - Varlavägen, Kungsbacka",mcd,small_red
12.05994,57.47399,"McDonald´s - Kungsbacka - Kollavarvsvägen 18, Kungsbacka",mcd,small_red
18.0704,59.3362,"McDonald´s - Kungsgatan 4, Stockholm",mcd,small_red
11.96781,57.70454,"McDonald´s - Kungsgatan 55-57, Göteborg",mcd,small_red
11.9720,57.8755,"McDonald´s - Kungälv - Gymnasiegatan, Kungälv",mcd,small_red
15.41686,60.48569,"McDonald´s - Kupolen Borlänge, Borlänge",mcd,small_red
12.05023,57.60205,"McDonald´s - Ekenleden 3, Kållered",mcd,small_red
12.85256,55.87122,"McDonald´s - Pumpgatan 5, Landskrona",mcd,small_red
17.31747,62.38673,"McDonald´s - Landsvägsallén 10, Sundsvall",mcd,small_red
12.31038,57.67930,"McDonald´s - Flygplatsvägen 12, Landvetter",mcd,small_red
12.26284,57.12408,"McDonald´s - Äppelvägen 1A, Varberg",mcd,small_red
18.02302,59.31049,"McDonald´s - Liljeholmstorget 94, Stockholm",mcd,small_red
14.69205,63.17704,"McDonald´s - Hagvägen 1A, Östersund",mcd,small_red
13.20341,61.15458,"McDonald´s - Lindvallen, Sälen",mcd,small_red
17.89723,59.26503,"McDonald´s - Kungenskurvaleden 1, Kungens Kurva",mcd,small_red
15.62529,58.40911,"McDonald´s - S:t Larsgatan 35, Linköping",mcd,small_red
13.03298,55.55075,"McDonald´s - Bronsgjutaregatan 3, Malmö",mcd,small_red
13.09063,55.68459,"McDonald´s - Bronsgatan 3, Lomma",mcd,small_red
